tipoTitulo	tituloPrimario	tituloOriginal	anoInicio	anoFim	duracaoMinutos	generos
movie	Suite Dreams	Uchôten hoteru	2006		136	Comedy,Drama,Romance
movie	Shikaar	Shikaar	2000		135	Action,Mystery
movie	Black Kiss	Shinkuronishiti	2004		133	Crime,Drama,Mystery
movie	Yokubô	Yokubô	2005		133	Drama
movie	Kikoyuruya	Kikoyuruya	2005		133	Drama
movie	Star Reformer	Kenchô no hoshi	2006		131	Comedy,Drama,Romance
movie	Des cochons et des hommes	Des cochons et des hommes	2004		129	Documentary
movie	Gunda	Gunda	1998		129	Action,Comedy,Crime
movie	In Search of Mozart	In Search of Mozart	2006		129	Documentary,Music
movie	Kalyug	Kalyug	2005		126	Action,Crime,Drama
movie	Rauchzeichen	Rauchzeichen	2006		125	Drama
movie	Anokha Milan	Anokha Milan	1972		125	Drama
movie	Hyakumanryô hibun: Dai ippen	Hyakumanryô hibun: Dai ippen	1927		124	Action
movie	The Zero Years	The Zero Years	2005		123	Drama,Sci-Fi
movie	Gangster	Gangster	2006		123	Crime,Drama,Mystery
movie	Memories of Tomorrow	Ashita no kioku	2006		122	Drama
movie	Ocean's Thirteen	Ocean's Thirteen	2007		122	Crime,Thriller
movie	Roberta	Roberta	1979		122	Drama
movie	Hinagon	Hinagon	2005		121	Drama
movie	Lady Joker	Lady Joker	2004		121	Crime,Drama,Thriller
movie	The Unforgiven	Yongseobadji mothan ja	2005		121	Drama
movie	Winter's Flower	Fuyu no hana	1978		121	Crime,Drama
tvSeries	Hollyoaks: No Going Back	Hollyoaks: No Going Back	2005		120	Drama
tvSeries	Entre amigos	Entre amigos	2005		120	Comedy,Music
tvSeries	Irma de tarde	Irma de tarde	2002	2007	120	Talk-Show
tvSeries	Lo que inTeresa	Lo que inTeresa	2006		120	Talk-Show
movie	Private Fears in Public Places	Coeurs	2006		120	Drama,Romance
tvSeries	CNN Live Today	CNN Live Today	2001		120	News,Talk-Show
movie	Fire & Water	Agnidahaya	2002		119	Drama
movie	The Genius Club	The Genius Club	2006		119	Drama,Thriller
movie	The Unknown Woman	La sconosciuta	2006		118	Drama,Mystery,Thriller
movie	Black Butterfly	Mariposa negra	2006		118	Drama
movie	Bala at rosaryo	Bala at rosaryo	1990		118	Action
movie	You Told Me, You Love Me	Du hast gesagt, dass du mich liebst	2006		117	Drama
movie	The Hottest State	The Hottest State	2006		117	Drama,Music,Romance
movie	I Will Always Love You	I Will Always Love You	2006		117	Romance
movie	Sex and Death 101	Sex and Death 101	2007		117	Comedy,Drama,Romance
movie	We Own the Night	We Own the Night	2007		117	Crime,Drama,Thriller
movie	The Professor and His Beloved Equation	Hakase no aishita sûshiki	2006		117	Drama,Family,Romance
movie	Night Time Picnic	Yoru no pikunikku	2006		117	Drama
movie	Kara kentin çocuklari - Losers of the Dark City	Kara kentin çocuklari - Losers of the Dark City	2000		116	Adventure,Drama,Romance
movie	Baba Shamal	Baba Shamal	1971		116	Drama,Musical,Romance
movie	Breaking the Maya Code	Breaking the Maya Code	2008		116	Documentary,Mystery
movie	Jardins en automne	Jardins en automne	2006		115	Comedy
movie	Bangkok Robbery	102 piit krungthep plon	2004		115	Action
movie	Baik punya cilok	Baik punya cilok	2005		115	Comedy,Crime
movie	Tales from Earthsea	Gedo senki	2006		115	Adventure,Animation,Fantasy
movie	Gyakkyo nine	Gyakkyo nine	2005		115	Comedy,Sport
movie	I terrazzi.1	I terrazzi.1	2003		115	Comedy
movie	Welcome Home, Roscoe Jenkins	Welcome Home, Roscoe Jenkins	2008		114	Comedy,Romance
movie	In the Name of the Tiger	Seua phuu khaao	2005		114	Action,Fantasy
movie	Wine of Morning	Wine of Morning	1955		114	Drama
movie	Moonlight Jellyfish	Mûnraito jerîfisshu	2004		113	Action,Adventure,Drama
movie	Don't Give Up on Us	Don't Give Up on Us	2006		113	Drama,Romance
movie	Futari biyori	Futari biyori	2005		113	Drama
movie	What the Snow Brings	Yuki ni negau koto	2005		112	Drama
movie	Say That You Love Me	Say That You Love Me	2005		112	Comedy,Drama,Romance
movie	Baciami piccina	Baciami piccina	2006		111	Comedy,Drama,History
movie	Aaya Toofan	Aaya Toofan	1999		111	Action
movie	Detective Conan: The Private Eyes' Requiem	Meitantei Conan: Tanteitachi no requiem	2006		111	Action,Adventure,Animation
movie	Baggage	Baggage	2008		110	Drama
movie	Dorm	Dek hor	2006		110	Drama,Horror
movie	El automóvil gris	El automóvil gris	2002		110	Drama
movie	El caracazo	El caracazo	2005		110	Drama
movie	Living in Fear	Song trong so hãi	2005		110	Drama
movie	My American Nurse	My American Nurse	2006		110	Drama
movie	Stormy Night	Arashi no yoru ni	2005		110	Adventure,Animation,Drama
movie	Close to You	Close to You	2006		110	Romance
movie	Cient' anne	Cient' anne	1999		110	Musical
movie	Sweet Memory	Glykia mnini	2005		110	Drama
movie	The Sword of Alexander	Taitei no ken	2007		110	Action,Comedy,Fantasy
movie	If You Could Say It in Words	If You Could Say It in Words	2008		110	Romance
movie	Choose Connor	Choose Connor	2007		109	Drama
movie	La leyenda del tiempo	La leyenda del tiempo	2006		109	Drama
movie	Binetsu shonen	Binetsu shonen	1987		109	Romance
movie	Keep on Rocking	Keep on Rocking	2003		109	Drama,Music
movie	Trip to Asia: The Quest for Harmony	Trip to Asia - Die Suche nach dem Einklang	2008		108	Documentary,Music
movie	Re-cycle	Gwai wik	2006		108	Fantasy,Horror,Mystery
movie	El ragol el abiad el motawasset	El ragol el abiad el motawasset	2002		108	Comedy
movie	Sooriya Arana	Sooriya Arana	2004		108	Family
movie	Wolf Girl	Ôkami shôjo	2005		107	Drama
movie	Silk	Silk	2007		107	Drama,Romance
movie	Bad Blood	Bad Blood	2012		107	Horror,Mystery,Romance
movie	Looking for Miguel	Buscando a Miguel	2007		107	Comedy,Drama
movie	Rock	Rock	2005		107	Comedy,Drama
movie	Sen no kaze ni natte	Sen no kaze ni natte	2004		107	Drama
movie	Anamorph	Anamorph	2007		107	Crime,Horror,Thriller
movie	Summer Time Machine Blues	Samâ taimu mashin burûsu	2005		107	Comedy,Sci-Fi
movie	Dracula's Curse	Dracula's Curse	2006		107	Action,Horror
movie	Inkheart	Inkheart	2008		106	Adventure,Family,Fantasy
movie	The Art of Crying	Kunsten at græde i kor	2006		106	Comedy,Drama
movie	Seven and a Half	Sedam i po	2006		106	Comedy,Drama
movie	D' Lucky Ones!	D' Lucky Ones!	2006		106	Comedy
movie	Lavado em Lágrimas	Lavado em Lágrimas	2006		106	Drama
movie	Vakil-e avval	Vakil-e avval	1987		106	Drama,History
movie	Neandertal	Neandertal	2006		105	Drama
movie	Nadie inquietó más - Narciso Ibáñez Menta	Nadie inquietó más - Narciso Ibáñez Menta	2005		105	Documentary
movie	The Strait Story	Fu shih kuang ying	2005		105	Drama,Romance
movie	Cincinnati to Cymru	Cincinnati to Cymru	2001		105	Drama
movie	I'm a Cyborg, But That's OK	Ssa-i-bo-geu-ji-man-gwen-chan-a	2006		105	Comedy,Drama,Romance
movie	Theory	Theory	2007		105	Thriller
movie	GAL	GAL	2006		105	Drama,Thriller
movie	Season of the Horse	Ji feng zhon de ma	2005		105	Drama
movie	Barrio Cuba	Barrio Cuba	2005		105	Drama
movie	Cuando el cielo es azul	Cuando el cielo es azul	2005		105	Fantasy,Romance
movie	The Last Adam	The Last Adam	2006		104	Drama
movie	The Sadness of Mrs. Snajdrova	Smutek paní Snajderové	2008		104	Drama,Romance
movie	The Foundation	Fundacja	2006		104	Comedy,Crime,Drama
movie	Warum Ulli sich am Weihnachtsabend umbringen wollte	Warum Ulli sich am Weihnachtsabend umbringen wollte	2005		104	Comedy,Drama
movie	Uro	Uro	2006		104	Action,Crime,Thriller
movie	Id	Ido	2005		104	Drama,Horror,Mystery
movie	Ramona and Beezus	Ramona and Beezus	2010		103	Adventure,Comedy,Family
movie	Cándida	Cándida	2006		103	Comedy,Drama
movie	Dansh	Dansh	2005		103	Drama
movie	Ghost Shout	Gosuto shauto	2004		103	Horror
movie	Little Angel	Punchi Suranganavi	2002		103	Family
movie	War	War	2007		103	Action,Crime,Thriller
movie	The Wake	Agrypnia	2005		102	Drama
movie	The Trek	Dong phayaa fai	2002		102	Adventure
movie	Miguel and William	Miguel y William	2007		102	Comedy,Romance
movie	Rings	Rings	2017		102	Drama,Horror
movie	Emilio	Emilio	2008		102	Adventure,Drama,Mystery
movie	The Devil from Seventh Grade	Szatan z siódmej klasy	2006		101	Comedy,Family,Mystery
movie	Tenderness	Tenderness	2009		101	Crime,Drama,Thriller
movie	Climates	Iklimler	2006		101	Drama
movie	Good Sharma	Good Sharma	2010		100	Drama
movie	Strictly Sexual	Strictly Sexual	2008		100	Comedy,Drama,Romance
movie	Universal Signs	Universal Signs	2008		100	Drama
movie	A Winter Tale	A Winter Tale	2007		100	Drama
movie	Hummadruz	Hummadruz	1999		100	Horror
movie	De Pernambuco Falando Para o Mundo	De Pernambuco Falando Para o Mundo	1984		100	Documentary
movie	Rainbow Boys: The Movie	Rainbow boy... Rung tua thii paet khawng khwaam rak	2005		100	Comedy,Drama,Romance
movie	The Sorceress	Sahere	1998		100	Drama,Mystery
movie	Augstuma robeza	Augstuma robeza	2005		100	Drama
movie	Bolygótüz	Bolygótüz	2003		100	Drama
movie	Até Amanhã	Até Amanhã	2001		100	Drama
movie	Der Mann von der Botschaft	Der Mann von der Botschaft	2006		100	Drama
movie	Lola, la película	Lola, la película	2007		100	Biography
movie	Pierlequin	Pierlequin	2001		100	Biography,Comedy,Drama
movie	Art of Fighting	Ssaum-ui gisul	2006		100	Comedy,Drama
movie	José Martí, ése soy yo	José Martí, ése soy yo	2005		100	Animation
movie	Universidad de Santo Domingo, Primada de América	Universidad de Santo Domingo, Primada de América	2005		100	Documentary
movie	¡Viva la república!	¡Viva la república!	1972		100	Documentary
movie	Der Elefant im Porzellanladen	Der Elefant im Porzellanladen	1958		100	Comedy,Romance
movie	Fare la vita	Fare la vita	2001		100	Drama
movie	Slumming	Slumming	2006		100	Comedy,Drama
movie	L'île aux trésors	L'île aux trésors	2007		100	Adventure,Comedy
movie	The Jungle	La jungle	2006		99	Comedy
movie	White Noise 2: The Light	White Noise 2: The Light	2007		99	Drama,Fantasy,Horror
movie	Ter ziele	Ter ziele	2005		99	Drama
movie	Geekin'	Geekin'	2006		99	Comedy
movie	Zwischen Glück und Krone	Zwischen Glück und Krone	1959		99	Documentary
movie	Indian Summer	Indeian sama	2005		99	Drama
movie	In Search of Lovecraft	In Search of Lovecraft	2008		98	Horror
movie	Corporate Affairs	Corporate Affairs	2008		98	Comedy
movie	The Class of Chaos 3,5	Hababam Sinifi Üç Buçuk	2005		98	Comedy,Thriller
movie	1 Litre of Tears	Ichi ritoru no namida	2005		98	Drama
movie	The Strange Case of Carl Weber	An American Vampire in America	2006		98	Comedy,Drama
movie	Scorpion	Scorpion	2007		98	Action,Drama
movie	The Countess	The Countess	2009		98	Biography,Drama,History
movie	Un an	Un an	2006		98	Drama,Mystery
movie	Just Love Me	Tylko mnie kochaj	2006		98	Comedy,Romance
movie	Hahabue kobue	Hahabue kobue	1955		98	Drama
movie	Casa de Remolienda	Casa de Remolienda	2007		98	Drama
movie	Welcome to Verona	Wellkåmm to Verona	2006		98	Drama,Romance
movie	Her Private Life	Idiotiki mou zoi	1971		98	Crime,Romance,Thriller
movie	The China's Next Top Princess	Fei zi xiao	2005		97	Comedy
movie	Grandhotel	Grandhotel	2006		97	Comedy
movie	Long-Term Relationship	Long-Term Relationship	2006		97	Comedy,Drama,Romance
movie	Cheating Love	On va s'aimer	2006		97	Comedy,Musical,Romance
movie	Mr. Soul	Mr. Soul	2006		97	Drama,Horror,Thriller
movie	Vivere	Vivere	2007		97	Drama,Romance
movie	All It Takes Is a Miracle	Små mirakel och stora	2006		97	Drama
movie	Time	Shi gan	2006		97	Drama,Mystery,Romance
movie	Wir waren niemals hier	Wir waren niemals hier	2005		97	Documentary
movie	Violent City	Bôryoku gai	1974		96	Action,Crime,Drama
movie	Das Erbe vom Pruggerhof	Das Erbe vom Pruggerhof	1956		96	Crime,Drama
movie	Commune of Bliss	Kommune der Seligen	2004		96	Documentary
movie	Blind Eye	Blind Eye	2007		96	Action
movie	Chiamami Salomè	Chiamami Salomè	2006		96	Drama
movie	An Inconvenient Truth	An Inconvenient Truth	2006		96	Documentary
movie	True North	True North	2006		96	Drama,Thriller
movie	Vicky Cristina Barcelona	Vicky Cristina Barcelona	2008		96	Drama,Romance
movie	Laffit: All About Winning	Laffit: All About Winning	2006		96	Biography,Documentary,Sport
movie	The Slaughter	The Slaughter	2006		96	Comedy,Horror
movie	55 esaaf	55 esaaf	2001		96	Adventure,Comedy,Thriller
movie	Takva: A Man's Fear of God	Takva	2006		96	Drama
movie	The Man Who Sold the World	The Man Who Sold the World	2006		96	Horror,Mystery
movie	Slipstream	Slipstream	2007		96	Comedy,Drama,Fantasy
movie	Brothers: The Return	Tusenbröder - Återkomsten	2006		96	Crime,Drama,Thriller
movie	Charly	Charly	2007		95	Drama
movie	5ive Girls	5ive Girls	2006		95	Horror,Thriller
movie	The Achievers	The Achievers	2006		95	Comedy
movie	Angels in the Dust	Angels in the Dust	2007		95	Documentary
movie	End of the Line	End of the Line	2007		95	Horror,Thriller
movie	Last Hour	Last Hour	2008		95	Action,Drama,Thriller
movie	The Last Summer	De laatste zomer	2007		95	Drama
movie	Next: A Primer on Urban Painting	Next: A Primer on Urban Painting	2005		95	Documentary
movie	Hit Man File	Sum muepuen	2005		95	Action,Crime,Drama
movie	The Vanished	Ame no machi	2006		95	Horror
movie	Linda & Ali: Two Worlds Within Four Walls	Linda & Ali: Two Worlds Within Four Walls	2005		95	Documentary
movie	The Parking Attendant in July	Kan che ren de qi yue	2004		95	Drama
movie	Blur	Blur	2007		95	Drama,Horror,Mystery
movie	Mi abuelo, mi papá y yo	Mi abuelo, mi papá y yo	2005		95	Comedy,Drama,Romance
movie	Demented	Le dernier des fous	2006		95	Drama
movie	The Enigma with a Stigma	The Enigma with a Stigma	2006		95	Comedy
movie	Estrellas de La Línea	Estrellas de La Línea	2006		95	Documentary
movie	Nightmare	Kaboos	1989		95	Horror
movie	McDull, the Alumni	Chun tian hua hua tong xue hui	2006		95	Animation,Comedy,Fantasy
movie	Unemployed	Unemployed	2008		95	Comedy
movie	Antes Que o Tempo Mude	Antes Que o Tempo Mude	2003		94	Drama
movie	São Paulo, SP	São Paulo, SP	1991		94	Documentary
movie	Freezer Burn	Freezer Burn	2007		94	Comedy,Drama,Sci-Fi
movie	Mouth to Mouth	Mun mot mun	2005		94	Drama
movie	Despre morti numai de bine	Despre morti numai de bine	2005		94	Drama
movie	Hostel: Part II	Hostel: Part II	2007		94	Crime,Horror,Thriller
movie	Ice Flower	Gol-e yakh	2005		94	Drama,Romance
movie	Day Night Day Night	Day Night Day Night	2006		94	Crime,Drama,Thriller
movie	Hung chak	Hung chak	2005		93	Horror
movie	Cecilie	Cecilie	2007		93	Horror,Thriller
movie	Cover Boy... Last Revolution	Cover boy: L'ultima rivoluzione	2006		93	Drama
movie	Severe Clear	Severe Clear	2009		93	Documentary
movie	Gatão de Meia Idade	Gatão de Meia Idade	2006		93	Comedy
movie	Diacuí, a Viagem de Volta	Diacuí, a Viagem de Volta	1984		93	Documentary
movie	Jeitosa, Um Assunto Muito Particular	Jeitosa, Um Assunto Muito Particular	1984		93	Comedy
movie	Bata-ville: We Are Not Afraid of the Future	Bata-ville: We Are Not Afraid of the Future	2005		93	Documentary
movie	Lords of the Underworld	Lords of the Underworld	2007		93	Action,Drama
movie	That Beautiful Somewhere	That Beautiful Somewhere	2006		93	Drama,Fantasy,Mystery
movie	Calvin Marshall	Calvin Marshall	2009		93	Comedy,Drama
movie	4:30	4:30	2005		93	Drama
movie	L'accord	L'accord	2005		93	Documentary
movie	Insouciants	Insouciants	2004		93	Comedy,Drama
movie	My Wife's First Lover	Min frus förste älskare	2006		93	Comedy,Drama
movie	Offside	Offside	2006		93	Comedy,Drama,Sport
movie	Rastros de hollin	Rastros de hollin	2003		92	Documentary
movie	Deepfrozen	Deepfrozen	2006		92	Comedy
movie	Bewilderness	Bewilderness	2006		92	Drama
movie	Ikusa	Ikusa	2005		92	Action,Crime
movie	Mitten im Malestream	Mitten im Malestream	2005		92	Documentary
movie	The Door	The Door	2005		92	Mystery
movie	The Marsh	The Marsh	2006		92	Horror,Thriller
movie	A Cheerful Gang Turns the Earth	Yôki na gyangu ga chikyû o mawasu	2006		92	Comedy,Crime
movie	Offshore	Offshore	2006		92	Drama
movie	White Trash	Att göra en pudel	2006		92	Comedy,Romance
movie	Balla che ti passa	Balla che ti passa	2005		92	Comedy
movie	Reaching Silence	Nisshabd	2005		92	Drama
movie	Black Eyed Dog	Black Eyed Dog	2006		91	Drama
movie	Sync or Swim	Sync or Swim	2008		91	Documentary
movie	Adrift in Manhattan	Adrift in Manhattan	2007		91	Drama
movie	Moloch	Moloch	2001		91	Horror
movie	We Live in Public	We Live in Public	2009		91	Documentary
movie	The Christmas Miracle of Jonathan Toomey	The Christmas Miracle of Jonathan Toomey	2007		91	Family
movie	Isabella	Yi sa bui lai	2006		91	Drama
movie	Ciné Follies	Ciné Follies	1977		90	Documentary
movie	Corpo a Corpo, Todos os Sonhos do Mundo	Corpo a Corpo, Todos os Sonhos do Mundo	1984		90	Drama
movie	The Last Sect	The Last Sect	2006		90	Horror,Thriller
movie	The Baggy Trousers Case	Salvar Davasi	1983		90	Comedy
movie	Sekerpare	Sekerpare	1983		90	Comedy,History,Romance
movie	Dood eind	Dood eind	2006		90	Horror,Thriller
movie	Framed	Framed	2008		90	Thriller
movie	Endangered Species	Endangered Species	2004		90	Documentary
movie	In the Shadow of the Palms - Iraq	In the Shadow of the Palms - Iraq	2005		90	Documentary,History,War
movie	Flipping the Whale	Flipping the Whale	2001		90	Musical
movie	The Only One	Vidange perdue	2006		90	Drama
movie	Tub Girls	Tub Girls	1967		90	Romance
movie	Ultima Thule - Eine Reise an den Rand der Welt	Ultima Thule - Eine Reise an den Rand der Welt	2005		90	Drama
movie	Rocker	The Bliss	2006		90	Comedy
movie	Fimfárum 2	Fimfárum 2	2006		90	Animation
movie	Flamenco: A Personal Journey	Flamenco: A Personal Journey	2005		90	Documentary
movie	Bailar para vivir	Bailar para vivir	2003		90	Documentary
movie	El caudillo pardo	El caudillo pardo	2005		90	Documentary
movie	Izure no mori ka aoki um	Izure no mori ka aoki um	2004		90	Drama
movie	Sennenbi	Sennenbi	2004		90	Drama
movie	The Last Communist	Lelaki komunis terakhir	2006		90	Biography,Documentary,History
movie	Guerilla Marketing	Guerilla Marketing	2005		90	Drama
movie	Nicky's Birthday Camera	Nicky's Birthday Camera	2007		90	Drama
movie	The Truck of Dreams	The Truck of Dreams	2006		90	Drama
movie	The Truce	La trêve	1968		90	Drama
tvSeries	M.E.T.R.O. - Ein Team auf Leben und Tod	M.E.T.R.O. - Ein Team auf Leben und Tod	2006		90	Action,Crime
tvSeries	Mi abuelo es el mejor	Mi abuelo es el mejor	2006		90	Family,Game-Show
movie	Opium War	Opium War	2008		90	Drama,War
movie	Welcome to Bataville	Bienvenue à Bataville	2008		90	Documentary
movie	Madame Irma	Madame Irma	2006		90	Comedy
movie	Cocktail	Boon chui yan gaan	2006		90	Drama,Romance
movie	Camjackers	Camjackers	2006		90	Comedy
movie	Rank	Rank	2006		90	Documentary
movie	She's Got It	Ein La Elohim	2007		90	Comedy
movie	Sweet Mud	Adama Meshuga'at	2006		90	Drama
tvSeries	In Concert	In Concert	1972		90	Music
movie	Aguaviva: El abrazo de la tierra	Aguaviva: El abrazo de la tierra	2005		90	Documentary
tvSeries	National Press Club Luncheon	National Press Club Luncheon	1998		90	News
movie	La France est un empire	La France est un empire	1938		90	Documentary
tvSeries	Aci Hayat	Aci Hayat	2005	2007	90	Action,Drama,Romance
movie	Dün gece bir rüya gördüm	Dün gece bir rüya gördüm	2006		90	Drama
movie	Milarepa	Milarepa	2006		90	Action,Adventure,Biography
movie	Ah Nerede	Ah Nerede	1975		90	Comedy,Romance
movie	Absolute Trust	Absolute Trust	2009		90	Drama,Romance
movie	Elipsis	Elipsis	2006		90	Crime,Drama,Thriller
movie	Routes of Exile: A Moroccan Jewish Odyssey	Routes of Exile: A Moroccan Jewish Odyssey	1982		90	Documentary
movie	O Escândalo na Sociedade	O Escândalo na Sociedade	1983		89	Drama
movie	Attack of the Gryphon	Attack of the Gryphon	2007		89	Action,Adventure,Fantasy
movie	Walking on the Wild Side	Lai xiao zi	2006		89	Drama
movie	Monday	Monday	2006		89	Comedy
movie	Pretty Cool Too	Pretty Cool Too	2007		89	Comedy,Romance
movie	Trapped in Perfection	Trapped in Perfection	2008		89	Thriller
movie	World on Fire	World on Fire	2005		89	Comedy,Drama
movie	Guilt Complex	Guilt Complex	2004		89	Drama
movie	Almost Adult	Almost Adult	2006		89	Drama
movie	The Melon Route	Put lubenica	2006		89	Drama
movie	Days of Darkness	Days of Darkness	2007		89	Horror
movie	A Boca do Prazer	A Boca do Prazer	1984		88	Comedy
movie	Eagle vs Shark	Eagle vs Shark	2007		88	Comedy,Romance
movie	Itsuka nami no kanata ni	Itsuka nami no kanata ni	2005		88	Drama
movie	Girgiriye'de cümbüs	Girgiriye'de cümbüs	1983		88	Comedy
movie	Saskin ördek	Saskin ördek	1983		88	Comedy
movie	The Forest	The Forest	2009		88	Drama,Thriller
movie	Good Chemistry	Good Chemistry	2008		88	Drama,Thriller
movie	Preußisch Gangstar	Preußisch Gangstar	2007		88	Crime,Drama,Music
movie	The Last Romantic	The Last Romantic	2006		88	Comedy,Drama
movie	Naked Beneath the Water	Naked Beneath the Water	2006		88	Horror,Thriller
movie	An Uzi at the Alamo	An Uzi at the Alamo	2005		88	Comedy,Romance
movie	I Told You I Was Ill: The Life and Legacy of Spike Milligan	I Told You I Was Ill: The Life and Legacy of Spike Milligan	2005		88	Documentary
movie	Bad Faith	Mauvaise foi	2006		88	Comedy,Drama
movie	Pardonnez-moi	Pardonnez-moi	2006		88	Drama
movie	Stump the Band	Stump the Band	2006		88	Horror
movie	Du & jag	Du & jag	2006		88	Drama,Romance
movie	A Difícil Viagem	A Difícil Viagem	1983		87	Drama
movie	Es rauscht der Rhein, es strömt das Leben	Es rauscht der Rhein, es strömt das Leben	1951		87	Documentary
movie	Siren	Sairen	2006		87	Horror,Thriller
movie	Dönme dolap	Dönme dolap	1983		87	Comedy
movie	Lost Signal	Lost Signal	2006		87	Horror,Thriller
movie	The Empire in Africa	The Empire in Africa	2006		87	Documentary
movie	God Willing	Om Gud vill	2006		87	Drama,Romance
movie	The Holy Modal Rounders: Bound to Lose	The Holy Modal Rounders: Bound to Lose	2006		87	Documentary,Music
movie	Itty Bitty Titty Committee	Itty Bitty Titty Committee	2007		87	Comedy,Drama,Romance
movie	La isla de Bali	La isla de Bali	1998		87	Documentary
movie	Franky's Heaven	Franky's Heaven	2004		87	Drama
movie	Curtain Call	Kâten-kôru	2005		86	Drama
movie	In Our Garden	In Our Garden	2002		86	Comedy,Drama
movie	It's Gonna Get Worse	...a bude hur	2007		86	Drama
movie	Agi and Emma	Agi i Ema	2007		86	Family
movie	Beautiful Things	Beautiful Things	2006		86	Drama
movie	Kakkun Cafe	Kakkun Cafe	1984		86	Animation
movie	Furnace	Furnace	2007		86	Crime,Horror,Mystery
movie	Nobelity	Nobelity	2006		86	Documentary
movie	Afterman 2	Afterman 2	2005		86	Action,Sci-Fi,Thriller
movie	Didi, the Treasure Raider	Didi, o Caçador de Tesouros	2006		86	Adventure,Family
movie	Cuba libre	Cuba libre	2005		86	Comedy
movie	Ray of Sunshine	Ray of Sunshine	2006		86	Drama,Thriller
movie	It's Winter	It's Winter	2006		86	Drama
movie	Drejan	Drejan	1997		85	Drama
movie	Gurozuka	Gurozuka	2005		85	Horror
movie	Boi Aruá	Boi Aruá	1983		85	Animation
movie	Der weiße Rausch - Einst und jetzt	Der weiße Rausch - Einst und jetzt	1966		85	Documentary
movie	O Inimigo Sem Rosto	O Inimigo Sem Rosto	2010		85	Crime,Drama
movie	Abduction: The Megumi Yokota Story	Abduction: The Megumi Yokota Story	2006		85	Crime,Documentary,Mystery
movie	Northern Light	Langer licht	2006		85	Drama
movie	The Perfect Life	The Perfect Life	2006		85	Documentary
movie	Millennium Crisis	Millennium Crisis	2007		85	Sci-Fi,Thriller
movie	Green Green Water	Green Green Water	2007		85	Documentary
movie	Prisoners of the Sun	Prisoners of the Sun	2013		85	Action,Adventure,Horror
movie	Xuxinha and Guto Against the Space Monsters	Xuxinha e Guto Contra os Monstros do Espaço	2005		85	Animation,Family
movie	A Star and Two Coffees	Una estrella y dos cafés	2006		85	Drama,Romance
movie	The Killer Within	The Killer Within	2006		85	Documentary
movie	The Rage	The Rage	2007		85	Horror
movie	Monday Night Gig	Monday Night Gig	2005		85	Comedy,Music
movie	No Problema	No Problema	2005		85	Drama
movie	20 nuits et un jour de pluie	20 nuits et un jour de pluie	2006		85	Drama
movie	Big Bang Love, Juvenile A	46-okunen no koi	2006		85	Drama,Fantasy
movie	Animals in Love	Les animaux amoureux	2007		85	Documentary
movie	Two Front Teeth	Two Front Teeth	2006		85	Action,Comedy,Fantasy
movie	Lissi und der wilde Kaiser	Lissi und der wilde Kaiser	2007		85	Adventure,Animation,Comedy
tvSeries	Volle Kanne	Volle Kanne	1999		85	News,Talk-Show
